LV,NODE,L1,DATA_TIME,U,IR,IX
1,354010389382,A,2019-04-18 10:15:00,227.14,76.24308735,32.25165881
1,354010389381,A,2019-04-18 22:45:00,227.7714286,29.53057513,14.92112543
1,354010389385,A,2019-04-18 15:00:00,229.72,25.65971072,-5.03369971
1,354010389383,A,2019-04-18 07:15:00,229.7285714,50.23660324,19.45825632
1,354019022842,A,2019-04-18 03:45:00,231.9,0,0
1,354010389386,A,2019-04-19 11:45:00,228.98,-4.380872073,-5.436031929
1,354010389383,A,2019-04-20 04:00:00,230.9571429,2.918635071,0.62838873
1,354010389388,A,2019-04-20,230.15,-7.255603298,23.94511138
1,354013332709,A,2019-04-19 01:30:00,231,11.15440699,-29.82333174
1,354013332709,A,2019-04-18 21:45:00,226.8333333,47.91590568,6.663770489
1,354010389388,A,2019-04-20 18:00:00,227.8,15.93363195,10.45762412
1,354019022839,A,2019-04-18 22:45:00,228.2142857,20.29304124,3.1209718
1,354010389382,A,2019-04-19 03:00:00,230.08,38.19192236,28.57527235
1,354019022839,A,2019-04-18 04:45:00,231.4857143,0.848761948,2.302988863
1,354019022839,A,2019-04-20 01:30:00,229.8857143,20.61284386,3.385274759
1,354010389385,A,2019-04-18 09:45:00,229.1,17.59220113,5.728342258
1,354013332709,A,2019-04-18 17:45:00,228.3166667,2.14912994,20.48931692
1,354010389385,A,2019-04-19 03:15:00,231.18,3.926721657,1.254852009
1,354010389388,A,2019-04-20 15:45:00,228.5,-0.008674257,11.95477484
1,354010389388,A,2019-04-19 09:00:00,229.15,21.10168734,1.761264442
1,354010389385,A,2019-04-19 14:15:00,229.72,-1.919478454,-2.148800392
1,354010389383,A,2019-04-19 06:30:00,230.1,10.62682977,-2.901780895
1,354013332709,A,2019-04-20 07:00:00,229.95,-14.34558087,29.43039472
1,354010389383,A,2019-04-20 15:30:00,229.6428571,2.43532531,1.275245589
1,354019022841,A,2019-04-18 11:00:00,227.9,12.63586369,11.64602236
1,354013332709,A,2019-04-19 14:00:00,229.0833333,22.80468518,1.164048192
1,354010389383,A,2019-04-19 12:00:00,229.3571429,-7.81614551,-4.018439151
1,354010389386,A,2019-04-18 08:15:00,229.38,1.03548914,9.313585084
1,354010389386,A,2019-04-19 16:15:00,228.78,4.931195843,3.588377802
1,354010389386,A,2019-04-18 00:45:00,231.74,8.319152323,2.414463802
1,354019022839,A,2019-04-19 00:45:00,231.1714286,-5.891320988,4.55288594
1,354010389386,A,2019-04-18 01:30:00,232.26,13.00519334,3.82218132
1,354013332709,A,2019-04-18 09:30:00,229.1333333,3.475518656,6.766676365
1,354019022839,A,2019-04-20 02:00:00,230.6428571,-11.46521995,-9.551933033
1,354010389381,A,2019-04-19 10:00:00,229.8857143,-3.4425362,-9.877820972
1,354010389383,A,2019-04-20 18:00:00,228.7714286,-11.50750312,-9.024129682
1,354010389386,A,2019-04-20 14:45:00,229.58,-3.620281895,-3.569052637
1,354010389386,A,2019-04-18 11:00:00,228.5,-3.110704062,5.67726007
1,354010389382,A,2019-04-19 19:15:00,227.02,17.07690807,36.16958008
1,354010389388,A,2019-04-19 03:30:00,230.7,2.047295447,1.913620116
1,354013332709,A,2019-04-20 19:30:00,226.4333333,8.80491717,8.881023864
1,354019022839,A,2019-04-19 03:30:00,230.9142857,1.850004481,2.347525706
1,354019022839,A,2019-04-20 11:30:00,228.9571429,6.094690768,-4.711262168
1,354019022839,A,2019-04-19 15:45:00,229.0428571,45.72428629,0.497171914
1,354010389381,A,2019-04-18 11:45:00,225.9571429,57.53202113,8.466063367
1,354010389383,A,2019-04-19 08:00:00,229.3142857,-13.56269891,-4.029194068
1,354010389381,A,2019-04-19 08:00:00,229.0142857,-6.854388615,13.79195442
1,354010389381,A,2019-04-18 15:15:00,229.8142857,-12.7542423,31.88652835
1,354010389384,A,2019-04-20 00:15:00,229.9,0.047857546,0.372109961
1,354010389381,A,2019-04-20 13:30:00,228.9571429,-7.475635378,8.720788396
1,354010389386,A,2019-04-20 10:00:00,228.92,-3.673677064,-6.652176002
